size,average_price,user_acct,side
1000000,0.000605543256,CLcXVZpCwF9QH2aNjFhPSzyeUVifkP9W88WHwfe6sMww,ASK
189088.174712,0.0014328679985,G5djAbi3DrZzrVmizfYteMpChyDV1nxqg2V77ftWpXKb,BID
271220.47,0.00150090995516666667,Cj1jScR4V73qLmvWJiGiWs9jtcwCXEZsmS5cevWt9jNc,ASK
260000,0.001576586789,9Q7HhieXBg4pCwsm4n4NfLZ9XU2uBagWTZLBe9gnxuD7,ASK
164591.588873,0.001604642909,7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,ASK
33790.682678,0.001655109946,Fywb7YDCXxtD7pNKThJ36CAtVe23dEeEPf7HqKzJs1VG,ASK
33790.682678,0.00170383918766666667,Fywb7YDCXxtD7pNKThJ36CAtVe23dEeEPf7HqKzJs1VG,BID
13085.120961,0.00182402968,EGNPfLtNe4WAcAQpnNwmehmEANCgj7FnqLUHfT54eVgV,ASK
10150.889386,0.001872534147,37TGrYNu56AxaeojgtAok8tQAsBSxGhvFKXqCYFAbBrA,ASK
218717.081947,0.002063437397,4pT6ESaMQTgpMs2ZZ81pFF8BieGtY9x4CCK2z6aoYoe4,ASK
210834.86904,0.00211098305166666667,9Q7HhieXBg4pCwsm4n4NfLZ9XU2uBagWTZLBe9gnxuD7,BID
230356.033746,0.002133519818,3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,ASK
41496.57,0.00217250404966666667,BTCcQAe1mSXD1Qut9vSjkFXqS85rrDGuxKAThcsujGp6,ASK
47940.818483,0.002317083051,Cj1jScR4V73qLmvWJiGiWs9jtcwCXEZsmS5cevWt9jNc,BID
1823265.998164,0.00238842371363414634,EHGUQcwaaiy7NuvuJ91zkdDpnfRfEay8vkCnqhWQSteX,BID
3187.15,0.002528262554,BcgYRPQC4mE3e195FmTx4mspmGbDx5xdcdKuLwNG89ov,ASK
274222.88,0.002787125118,EHGUQcwaaiy7NuvuJ91zkdDpnfRfEay8vkCnqhWQSteX,ASK
130356.033746,0.003835649073,3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,BID
